Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,Price,RentEstimate,MonthlyCost,ProposedPrice,NOI,CapRate,
1512 Wyoming Ave ,TRUE,79902,4,3,1838,50000,1750,625.6710205,45000,1124.328979,29.98210612,
185 Darwin Rd ,TRUE,79928,3,2,1800,70000,1995,821.3394165,63000,1173.660583,22.35543969,
3740 Satiacum Ln ,TRUE,79938,5,1,2184,79950,2135,920.8579712,71955,1214.142029,20.2483557,
13106 Sparks Dr ,TRUE,79928,1,1,832,50000,1300,571.6710205,45000,728.3289795,19.42210612,
220 Cherry St ,TRUE,79915,3,3,1813,75000,1750,833.5065308,67500,916.4934692,16.29321723,
5219 Danny Dr ,TRUE,79924,3,2,1767,95000,2200,1053.774902,85500,1146.225098,16.08736979,
420 Duran Pl ,TRUE,79915,3,1,1737,89000,2000,979.8944092,80100,1020.105591,15.28248076,
2810 Van Buren Ave ,TRUE,79930,3,2,1110,105000,1795,1088.309204,94500,706.6907959,8.973851376,
6060 E Yandell Dr ,TRUE,79905,3,1,1144,79900,1350,826.2423096,71910,523.7576904,8.740220116,
821 Stumm Pl ,FALSE,79928,2,1,1200,85000,1425,877.6407471,76500,547.3592529,8.586027497,
7810 Craddock Ave ,TRUE,79915,3,1,1342,115000,1800,1172.043335,103500,627.956665,7.280656986,
3648 Silver Palm Dr ,TRUE,79936,4,2,1791,128000,1995,1303.517822,115200,691.4821777,7.202939351,
2321 N Piedras St ,TRUE,79930,4,2,1668,103000,1590,1047.082275,92700,542.9177246,7.02806116,
6231 Taos Dr ,TRUE,79905,3,1,950,80000,1200,809.0736694,72000,390.9263306,6.515438843,
618 N Glenwood St ,TRUE,79905,3,2,1554,90000,1350,910.2078857,81000,439.7921143,6.51543873,
317 Pasodale Rd ,TRUE,79907,3,2,1866,165000,2450,1665.714355,148500,784.2856445,6.337661774,
1024 Arizona Ave ,TRUE,79902,3,2,1523,150000,2199,1510.893066,135000,688.1069336,6.116506076,
4919 McGregor Dr ,TRUE,79904,4,2,2171,185000,2700,1861.982788,166500,838.0172119,6.039763689,
3485 Magdalena Ave ,TRUE,79922,3,2,1348,109999,1600,1106.468018,98999.1,493.5319824,5.982260232,
901 Dakota River Ave ,TRUE,79932,3,3,1707,163000,2299,1630.967529,146700,668.0324707,5.464478288,
5965 Goldfield St ,TRUE,79938,4,3,2000,159950,2250,1599.731689,143955,650.2683105,5.420596524,
5041 Andes Dr ,TRUE,79904,3,1.5,1110,129000,1795,1287.831299,116100,507.1687012,5.242053759,
11490 Ghost Dance Cir ,TRUE,79936,2,1,1150,180000,2500,1796.415771,162000,703.5842285,5.211735026,
3619 E Yandell Dr ,TRUE,79903,4,3,1494,160000,2199,1594.027344,144000,604.9726563,5.041438802,
6766 Pony Express Rd ,TRUE,79938,2,1,784,95000,1300,945.7749634,85500,354.2250366,4.971579461,
7204 Raton Dr ,TRUE,79915,3,1.5,2078,125000,1695,1242.577637,112500,452.4223633,4.825838542,
10905 Bay Bridge St ,TRUE,79934,3,2,1068,105000,1400,1040.90918,94500,359.0908203,4.559883433,
6194 E Yandell Dr ,TRUE,79905,4,4,2126,299880,3950,2967.028564,269892,982.9714355,4.37051014,
211 S Carolina Dr ,TRUE,79915,3,2,1154,103000,1350,1018.282349,92700,331.7176514,4.294079629,
116 Skylight Cir ,TRUE,79927,4,2,1967,130000,1700,1284.744629,117000,415.2553711,4.259029447,
