Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,ListedPrice,RentEstimate,MonthlyCost,
6605 Quail Cove Ct ,1,79912,4,3,2224,280000,2150,2585.757781,
231 Sofia Pl ,1,79907,4,1,1520,150000,895,1354.413097,
408 S Festival Dr ,1,79912,3,2.5,2318,525000,2000,4604.545839,
11050 Breeze Ct ,1,79936,3,2,1101,129995,1350,1242.703117,
14470 Fernando Zubia Ave ,1,79938,3,2,1928,264999,1700,2407.048157,
331 Pecos St ,1,79905,3,2,1161,150000,1350,1409.013097,
14548 Smokey Point Dr ,1,79938,4,2,1354,219000,1450,1994.639121,
4520 Cupid Dr ,1,79924,3,2,1541,210000,1800,1961.818335,
1803 Bay City Pl ,1,79936,3,2,1066,207000,1400,1888.878074,
14229 Russ Leach Ave ,1,79938,3,2,960,199950,1195,1805.668458,
14528 Ginger Kerrick ,1,79938,4,2.5,2070,325000,1835,2922.06171,
13221 New Britton Dr ,1,79928,3,2,1148,195000,1395,1788.517026,
265 Farnborough St ,1,79928,3,2.5,2139,298380,2095,2731.958452,
14845 Tierra Fortaleza Ave ,1,79938,4,2.5,1664,274500,1595,2473.433967,
14829 Tierra Fortaleza Ave ,1,79938,4,2,1762,309500,1800,2789.00369,
14517 John McNeely Ave ,1,79938,4,2.5,2371,469500,2200,4167.150993,
14828 Mike A Mendoza Ave ,1,79938,4,2.5,1664,274500,1595,2473.433967,
928 Pellegrino Ave ,1,79932,4,2.5,2365,409900,2150,3665.671122,
13163 Gusart Ave ,1,79928,4,2.5,2356,323090,2000,2925.983076,
"Somerset Plan, Peyton Estates Community ",1,79928,4,2,2356,335900,1900,3020.477995,
7300 Wind Song Dr ,1,79912,3,2,1676,299999,2000,2734.01788,
6127 LA Posta Dr ,1,79912,4,4,3231,445000,3520,4121.872187,
13130 Oakhampton Ave ,1,79928,3,2.5,2139,308500,2095,2816.090269,
994 Yeldon Pl ,1,79928,4,2.5,2453,330292,2600,3057.856332,
6545 Wind Ridge Dr ,1,79912,5,3.5,3128,515000,1900,4509.411632,
7409 Big Mountain Ct ,1,79911,4,2.5,2487,450350,2235,4012.148987,
1633 Sam Dominguez St ,0,79928,3,2.5,2139,294500,2095,2699.70238,
7425 Big Mountain Ct ,1,79911,3,2.5,2280,436400,2800,3963.976769,
6108 Hidden Row Ave ,1,79924,3,2.5,2139,299420,2095,2740.60441,
7413 Big Mountain Ct ,1,79911,3,2.5,2487,455400,2235,4054.131762,
536 Paseo Musical St ,0,79928,3,2.5,1722,274440,1545,2466.935162,
10620 Hidden Arch Pl ,1,79924,3,2.5,1722,291980,1545,2612.75256,
1656 Sam Dominguez St ,0,79928,3,2.5,1722,275380,1545,2474.749777,
1664 Sam Dominguez St ,0,79928,4,3.5,2371,315360,2590,2932.520335,
6124 Hidden Row Ave ,1,79924,4,3.5,2371,326356,2400,3001.134708,
1661 Sam Dominguez St ,0,79928,4,2,1482,247830,1600,2252.315038,
2236 Sandstone Pl ,1,79911,3,2,1516,387360,1750,3430.286621,
6132 Hidden Row Ave ,1,79924,4,2,1482,258370,1295,2303.338492,
1665 Sam Dominguez St ,0,79928,3,2.5,1722,281040,1545,2521.803738,
1653 Sam Dominguez St ,0,79928,4,3.5,2371,316530,2590,2942.247037,
7429 Big Mountain Ct ,1,79911,3,2,1516,380360,1750,3372.092677,
6140 Hidden Row Ave ,1,79924,3,2,1482,258930,1600,2344.594008,
13146 Oakhampton Ave ,1,79928,3,2.5,2139,303130,2095,2771.4472,
6100 Hidden Row Ave ,1,79924,3,2.5,1722,282980,1545,2537.931774,
13155 Gusart Ave ,1,79928,4,2.5,2356,318100,2000,2884.499107,
